U_mm,F_lb_kN,F_ub_kN
0.5750000000000001,1.705291193181818,2.32485294117647
0.5760000000000001,1.7007420454545452,2.31968094117647
0.577,1.696192897727273,2.314508941176471
0.578,1.6916437500000003,2.309336941176471
0.579,1.6870946022727276,2.304164941176471
0.58,1.6825454545454548,2.298992941176471
0.581,1.678153125,2.293918352941177
0.582,1.6737607954545457,2.2888437647058826
0.583,1.6693684659090908,2.2837691764705887
0.584,1.6649761363636362,2.2786945882352945
0.585,1.6605838068181815,2.27362
0.586,1.6563602272727271,2.2686343529411768
0.587,1.6521366477272728,2.2636487058823533
0.588,1.6479130681818182,2.258663058823529
0.589,1.6436894886363638,2.253677411764706
0.59,1.6394659090909094,2.2486917647058826
0.591,1.6354230113636363,2.2437865882352943
0.592,1.631380113636364,2.238881411764706
0.593,1.627337215909091,2.2339762352941177
0.594,1.6232943181818185,2.2290710588235294
0.595,1.6192514204545456,2.224165882352941
0.596,1.6154011363636365,2.219332705882353
0.597,1.611550852272727,2.2144995294117646
0.598,1.6077005681818184,2.2096663529411766
0.599,1.6038502840909092,2.204833176470588
0.6,1.6,2.2
0.601,1.5963101704545457,2.195278
0.602,1.5926203409090909,2.190556
0.603,1.5889305113636365,2.1858340000000003
0.604,1.585240681818182,2.181112
0.605,1.5815508522727273,2.17639
0.606,1.5779765909090908,2.171816
0.607,1.5744023295454543,2.167242
0.608,1.570828068181818,2.162668
0.609,1.5672538068181816,2.158094
0.61,1.5636795454545451,2.15352
0.611,1.560213693181818,2.149082
0.612,1.556747840909091,2.144644
0.613,1.5532819886363636,2.140206
0.614,1.5498161363636362,2.135768
0.615,1.5463502840909091,2.13133
0.616,1.5429856818181815,2.127016
0.617,1.5396210795454546,2.1227020000000003
0.618,1.5362564772727272,2.118388
0.619,1.532891875,2.114074
0.62,1.5295272727272726,2.10976
0.621,1.5262567613636362,2.1055580000000003
0.622,1.52298625,2.101356
0.623,1.5197157386363636,2.097154
0.624,1.5164452272727271,2.092952
0.625,1.513174715909091,2.08875
0.626,1.5099911363636365,2.084648
0.627,1.5068075568181818,2.080546
0.628,1.5036239772727271,2.0764440000000004
0.629,1.500440397727273,2.0723420000000004
0.63,1.4972568181818182,2.0682400000000003
0.631,1.4941530113636363,2.064226
0.632,1.4910492045454546,2.0602120000000004
0.633,1.4879453977272727,2.056198
0.634,1.484841590909091,2.0521840000000005
0.635,1.4817377840909092,2.0481700000000003
0.636,1.478706590909091,2.044232
0.637,1.4756753977272727,2.0402940000000003
0.638,1.4726442045454546,2.036356
0.639,1.4696130113636363,2.0324180000000003
0.64,1.4665818181818182,2.02848
0.641,1.4636160795454545,2.024606
0.642,1.4606503409090907,2.020732
0.643,1.4576846022727272,2.016858
0.644,1.4547188636363635,2.0129840000000003
0.645,1.4517531249999998,2.00911
0.646,1.4488456818181816,2.005288
0.647,1.4459382386363635,2.001466
0.648,1.4430307954545454,1.997644
0.649,1.4401233522727273,1.993822
0.65,1.4372159090909091,1.99
0.651,1.4343596022727274,1.986218
0.652,1.4315032954545457,1.982436
0.653,1.4286469886363635,1.978654
0.654,1.4257906818181818,1.974872
0.655,1.422934375,1.97109
0.656,1.4201220454545456,1.967336
0.657,1.4173097159090908,1.963582
0.658,1.4144973863636363,1.959828
0.659,1.4116850568181816,1.956074
0.66,1.408872727272727,1.95232
0.661,1.4060972159090908,1.948582
0.662,1.4033217045454545,1.944844
0.663,1.400546193181818,1.941106
0.664,1.3977706818181816,1.937368
0.665,1.3949951704545454,1.93363
0.666,1.392249318181818,1.929896
0.667,1.3895034659090908,1.926162
0.668,1.3867576136363635,1.922428
0.669,1.3840117613636362,1.918694
0.67,1.381265909090909,1.91496
0.671,1.3785425568181815,1.911218
0.672,1.3758192045454545,1.907476
0.673,1.373095852272727,1.903734
0.674,1.3703724999999995,1.899992
0.675,1.3676491477272723,1.89625
0.676,1.364941136363636,1.892488
0.677,1.3622331249999995,1.888726
0.678,1.3595251136363633,1.884964
0.679,1.3568171022727271,1.881202
0.68,1.3541090909090907,1.87744
0.681,1.351409261363636,1.873646
0.682,1.3487094318181816,1.869852
0.683,1.346009602272727,1.866058
0.684,1.3433097727272725,1.862264
0.685,1.340609943181818,1.85847
0.686,1.3379111363636362,1.854632
0.687,1.3352123295454543,1.850794
0.6880000000000001,1.3325135227272726,1.846956
