1;Temps;Deplacements;Forces
;(s);(mm);(kN)
"";"53.5000";"5.3499";"23.6089"
"";"53.6000";"5.3603";"23.5569"
"";"53.7000";"5.3703";"23.5017"
"";"53.8000";"5.3801";"23.4488"
"";"53.9000";"5.3902";"23.3992"
"";"54.0000";"5.4004";"23.3474"
"";"54.1000";"5.4102";"23.2956"
"";"54.2000";"5.4200";"23.2377"
"";"54.3000";"5.4301";"23.1793"
"";"54.4000";"5.4402";"23.1350"
"";"54.5000";"5.4503";"23.0842"
"";"54.6000";"5.4604";"23.0251"
"";"54.7000";"5.4702";"22.9702"
"";"54.8000";"5.4800";"22.9197"
"";"54.9000";"5.4903";"22.8704"
"";"55.0000";"5.5003";"22.8199"
"";"55.1000";"5.5101";"22.7652"
"";"55.2000";"5.5203";"22.7058"
"";"55.3000";"5.5303";"22.6539"
"";"55.4000";"5.5401";"22.6038"
"";"55.5000";"5.5502";"22.5463"
"";"55.6000";"5.5601";"22.4908"
"";"55.7000";"5.5701";"22.4448"
"";"55.8000";"5.5804";"22.3952"
"";"55.9000";"5.5904";"22.3335"
"";"56.0000";"5.5999";"22.2752"
"";"56.1000";"5.6101";"22.2212"
"";"56.2000";"5.6203";"22.1725"
"";"56.3000";"5.6303";"22.1282"
"";"56.4000";"5.6402";"22.0756"
"";"56.5000";"5.6503";"22.0195"
"";"56.6000";"5.6600";"21.9674"
"";"56.7000";"5.6701";"21.9195"
"";"56.8000";"5.6803";"21.8613"
"";"56.9000";"5.6901";"21.8080"
"";"57.0000";"5.7002";"21.7548"
"";"57.1000";"5.7104";"21.7016"
"";"57.2000";"5.7204";"21.6507"
"";"57.3000";"5.7299";"21.5947"
"";"57.4000";"5.7402";"21.5436"
"";"57.5000";"5.7502";"21.4963"
"";"57.6000";"5.7602";"21.4505"
"";"57.7000";"5.7704";"21.3953"
"";"57.8000";"5.7802";"21.3400"
"";"57.9000";"5.7901";"21.2961"
"";"58.0000";"5.8003";"21.2509"
"";"58.1000";"5.8103";"21.2033"
"";"58.2000";"5.8201";"21.1622"
"";"58.3000";"5.8303";"21.1182"
"";"58.4000";"5.8404";"21.0724"
"";"58.5000";"5.8501";"21.0293"
"";"58.6000";"5.8602";"20.9799"
"";"58.7000";"5.8702";"20.9300"
"";"58.8000";"5.8801";"20.8917"
"";"58.8980";"5.8901";"20.8523"
2;Temps;Deplacements;Forces
;(s);(mm);(kN)
"";"0.0000";"0.0000";"0.0000"
"";"0.1000";"0.0072";"0.0000"
"";"0.2000";"0.0194";"0.0003"
"";"0.3000";"0.0300";"0.0005"
"";"0.4000";"0.0401";"0.0005"
"";"0.5000";"0.0501";"0.0009"
"";"0.6000";"0.0603";"0.0012"
"";"0.7000";"0.0702";"0.0017"
"";"0.8000";"0.0800";"0.0022"
"";"0.9000";"0.0903";"0.0032"
"";"1.0000";"0.1003";"0.0041"
"";"1.1000";"0.1100";"0.0057"
"";"1.2000";"0.1203";"0.0078"
"";"1.3000";"0.1303";"0.0103"
"";"1.4000";"0.1401";"0.0130"
"";"1.5000";"0.1502";"0.0164"
"";"1.6000";"0.1603";"0.0192"
"";"1.7000";"0.1700";"0.0216"
"";"1.8000";"0.1801";"0.0246"
"";"1.9000";"0.1903";"0.0271"
"";"2.0000";"0.2001";"0.0303"
"";"2.1000";"0.2101";"0.0327"
"";"2.2000";"0.2203";"0.0345"
"";"2.3000";"0.2301";"0.0362"
"";"2.4000";"0.2401";"0.0367"
"";"2.5000";"0.2503";"0.0367"
"";"2.6000";"0.2602";"0.0365"
"";"2.7000";"0.2701";"0.0366"
"";"2.8000";"0.2803";"0.0368"
"";"2.9000";"0.2901";"0.0373"
"";"3.0000";"0.3001";"0.0408"
"";"3.1000";"0.3103";"0.0473"
"";"3.2000";"0.3202";"0.0549"
"";"3.3000";"0.3299";"0.0638"
"";"3.4000";"0.3403";"0.0750"
"";"3.5000";"0.3503";"0.0879"
"";"3.6000";"0.3601";"0.1036"
"";"3.7000";"0.3703";"0.1220"
"";"3.8000";"0.3803";"0.1435"
"";"3.9000";"0.3901";"0.1694"
"";"4.0000";"0.4002";"0.1992"
"";"4.1000";"0.4102";"0.2314"
"";"4.2000";"0.4199";"0.2696"
"";"4.3000";"0.4301";"0.3142"
"";"4.4000";"0.4403";"0.3653"
"";"4.5000";"0.4501";"0.4269"
"";"4.6000";"0.4601";"0.4954"
"";"4.7000";"0.4702";"0.5678"
"";"4.8000";"0.4800";"0.6494"
"";"4.9000";"0.4901";"0.7400"
"";"5.0000";"0.5003";"0.8379"
"";"5.1000";"0.5101";"0.9438"
"";"5.2000";"0.5201";"1.0603"
"";"5.3000";"0.5303";"1.1831"
"";"5.4000";"0.5401";"1.3162"
"";"5.5000";"0.5500";"1.4589"
"";"5.6000";"0.5603";"1.6106"
"";"5.7000";"0.5701";"1.7742"
"";"5.8000";"0.5799";"1.9562"
"";"5.9000";"0.5902";"2.1483"
"";"6.0000";"0.6001";"2.3477"
"";"6.1000";"0.6099";"2.5671"
"";"6.2000";"0.6201";"2.7980"
"";"6.3000";"0.6302";"3.0405"
"";"6.4000";"0.6399";"3.2926"
"";"6.5000";"0.6501";"3.5500"
"";"6.6000";"0.6601";"3.8131"
"";"6.7000";"0.6699";"4.0896"
"";"6.8000";"0.6801";"4.3736"
